year,month,day,hour,location,stateOrProvince,country,continent,title,description,locale,duration,evidenceAndSpecialEffectsFlags,typeOfUfoCraftFlags,latitude,apparentUfoOccupantActivitiesFlags,placesVisitedAndThingsAffectedFlags,elevation,miscellaneousDetailsFlags,relativeAltitude,longitude,locationFlags,ref,refIndex,strangeness,credibility,miscellaneousFlags,aliensMonstersFlags
1977,7,6,17,"nr STEYNSBURG,RSA",CAP,Rep of South Africa,Southern Africa,FARMER,"ROUND NLT HVRS
MAKES BIG MOVE
HVRS AGAIN
SHOOTS AWAY",Farmlands,5,NA,Nightlights,-31.32,NA,NA,NA,NA,NA,-25.62,"Map, Ground, Civilian",232,78,5,6,NA,No occupant
1966,10,20,23,"MOOSE JAW,SSK",Sasketchewan,Canada,North America,2 OBS/4 MIN,"1 OBS= 25yr VET/RCAF
NLTS MANEUVER INEXPLICABLY.",Town & city,4,NA,Nightlights,50.38,NA,NA,548,NA,NA,105.53,"Map, Ground, Airborne, Civilian, High quality observer(s)",0,45,5,8,NA,No occupant
1967,3,26,16,"NEW WINCHESTER,OH",Ohio,USA,North America,BBK#11559,"3+2 OBS
SLNT SCR TUMBLES OVR ROAD/30min",Road + rails,30,NA,Saucer,40.71,NA,NA,314,"Military investigation, Blue Book",NA,82.91,"Map, Ground, Civilian, High quality observer(s)",185,37,6,9,NA,No occupant
1958,10,NA,19,"BASCARA,SP",GER,Spain,Western Europe,OBS HIDES,"8M SCR DOWN/WOODS
1 OID/DOME
2 OUTSIDE TAKE SAMPLES
>E",Forest,15,NA,Saucer,42.11,Sampling,"Dirt, Plants affected or sampled, Apparent Landing",NA,NA,NA,-2.9,"Map, Ground, Civilian",50,6,10,7,NA,Humanoid
1953,7,1,~01:10,"HONRUBIA,SPAIN",Cuenca,Spain,Western Europe,COPS,"GRY-WHT ORB COMES FROM NW
HVRS
SHOOTS>>E
LEAVES NO TRAIL",Town & city,1,NA,Saucer,39.6,NA,NA,NA,Other government agencies,NA,2.29,"Map, Ground, Civilian, High quality observer(s)",137,293,6,8,News,No occupant
1980,7,19,23,"TAIPEI,TAIWAN",TPE,Taiwan China,Asia Pacific,SVRL OBS,"METEOR SIMPLY STOPS!
HVRS/1hr
TURNS YELLOW+VANISHES..",Metropolis,60,NA,Fireball,25/04/2017,NA,NA,NA,Camouflage,NA,-121.49,"Map, Ground, Civilian, High quality observer(s)",208,269,5,9,Oddity,No occupant
1952,7,3,6,"AJAX,ON",Ontario,Canada,North America,2 SEP.OBS,"FLAMING RED DISK S>>N
VAPOR TRAIL
""Just like a tea-plate""",Residential,1,NA,"Saucer, Fireball",43.84,NA,NA,90,NA,NA,79.01,"Map, Ground, Civilian",136,839,5,7,Misidentification,No occupant
1990,11,2,~17:30,"N/CHERRYFIELD,ME",MNE,USA,North America,60' SCR MNVRS AROUND TREES,"RECT.PORTS
ROTATING COLORED LITES",Road + rails,8,NA,Saucer,44.67,NA,NA,20,NA,10,67.92,"Map, Ground, Coast, Civilian, High quality observer(s)",160,280,6,9,NA,No occupant
1990,3,23,19,"MAUBEUGE><BAVAY,FR",NRD,France,Western Europe,4 OBS,"WHT BALL HVRS IMMOBILE
SHOOTS WHT BEAM
SHOOTS>>E",Residential,2,NA,Probe,50.28,"Observation, Ray",NA,NA,NA,NA,-3.89,"Map, Ground, Civilian, High quality observer(s)",194,303,6,8,NA,No occupant
1990,5,4,23,"ANTWERP,BELG",Belgium,"Belgium, Netherlands and Luxembourg",Western Europe,2 OBS,"SLNT ORG SCR+SML WHT ORB/180'alt
2 LEGS/BOTTOM+ROW/WINDOWS?",Residential,15,NA,Saucer,50.34,NA,NA,NA,NA,NA,-4.42,"Map, Ground, Civilian",194,303,6,7,NA,No occupant
1954,10,10,18,"Le DONJON,FR",ALR,France,Western Europe,6 HUNTERS FIRE 4 SHOTS>15M GLO-DISK/WOODS,"MTL TRACES
/LDLN#128",Forest,1,"Traces, Technical",Saucer,46.34,NA,Apparent Landing,NA,NA,NA,-3.8,"Map, Ground, Civilian, High quality observer(s)",217,102,8,8,News,No occupant
1969,2,10,20,"DARTMOUTH,MASS",Massachusetts,USA,North America,TRUCK DRIVER,"FBL LO OVR TREES
FLIES WHEN OBS NEARS W/FLASHLITE",Road + rails,3,NA,Fireball,41.62,NA,NA,9,NA,NA,71,"Map, Ground, Coast, Civilian",83,339,6,6,NA,No occupant
1950,9,17,~17:00,"TATUM,NM",New Mexico,USA,North America,BBK,"FBL/GREY EDGE >S
SCR INSIDE?
SEP SCRS/ALBUQUERQUE+WALKER AFB",Military base,240,Technical,"Saucer, Fireball",33.26,NA,NA,1218,"Military investigation, Blue Book",NA,103.31,"Map, Ground, Military, Civilian",134,322,6,7,Wave,No occupant
1951,8,25,22,"E.ALBUQUERQUE,NM",New Mexico,USA,North America,SANDIA GUARD&FAMILY,"FLYING WING LARGER/B36 >>SSE
/r28p313",Residential,15,NA,Delta,35.08,NA,NA,1500,"Military investigation, Blue Book",NA,106.53,"Map, Ground, Civilian, High quality observer(s)",29,96,6,8,Wave,No occupant
1977,4,17,22,"CINARCA,AJACCIO,CORSICA",CDS,France,Western Europe,SVRL/CAR,"LUMn.GREENISH DISK E>>W FAST
/news/loc aprx",Road + rails,1,NA,Saucer,42,NA,NA,NA,NA,NA,-8.83,"Map, Ground, Coast, Civilian, High quality observer(s)",194,166,6,7,News,No occupant
1957,3,24,2,"Pt HUENEME,CA",California,USA,North America,COPS+100s,"UNK.OBJ W/BRITE LITES
FOLOS CAR > NAVAL ABASE
/MJ#287",Road + rails,5,NA,"Saucer, Probe",34.17,Observation,"Human affected, Vehicle affected",4,Other government agencies,NA,119.17,"Map, Ground, Coast, Civilian",210,689,6,6,News,No occupant
1950,3,16,NA,"MIRAFLORES,PERU",LMA,Peru,South America,SWISS ENGINEER+FAMILY,"GLOWING SCR STOPS OVHD/5min
CONTINUES>>N",Residential,6,NA,Saucer,-12.13,NA,NA,67,NA,NA,77.04,"Map, Ground, Coast, Civilian, High quality observer(s)",134,154,6,8,"News, Wave",No occupant
1983,10,3,NA,"INDIANAPOLIS,IN",Indiana,USA,North America,DEBBIE JORDAN ABD AGAIN,"SHOWN/HALF-ALIEN DAUGHTER?
MOM ON HOLD",Residential,30,NA,Saucer,39.8,"Missing time, Abduction, Conversation",Apparent Landing,215,NA,0,86.18,"Map, Ground, Civilian",98,17,10,6,Telepathy,"Humanoid, Pseudo-Human"
1958,12,17,19,"FORNELLS,MENORCA,SP",BLR,Spain,Western Europe,"2.5M x 30cm ""MISSILE""","VBRITE
MANEUVERS 2 MIN
>BEHIND TREES",Islands,2,Technical,"Cigar, Probe",40.01,NA,NA,NA,NA,NA,-4.1,"Map, Ground, Coast, Military",50,6,7,9,NA,No occupant
1956,12,26,18,"De FUNIAK SPRs,FL",Florida,USA,North America,MIL+CIV OBS,"WHT OVOID ""SIZE/GRAPEFRUIT""
RED FLASHES
>W",Town & city,20,NA,Saucer,30.72,NA,NA,72,"Military investigation, Blue Book",NA,86.11,"Map, Ground, Military, Civilian, High quality observer(s)",140,563,6,8,NA,No occupant
1971,1,7,4,"DENNIS,MA",Massachusetts,USA,North America,1+1+2 OBS,"CYL /LAKE ICE
TILTS 
STEAMING HOLE
/r249p135+/r83p211",Residential,2,Technical,"Cigar, Submersible",41.73,NA,Apparent Landing,4,Camouflage,0,70.21,"Map, Ground, Coast, Civilian, High quality observer(s)",24,854,4,8,NA,No occupant
1967,4,2,21,"STOCKHOLM,SWD",Sweden,Scandanavian and Finland,Western Europe,AM.ASTRONOMER,"DOT GROWS TO CLASSIC SCR HI/SKY
AMAZING SPEEDS",Metropolis,1,NA,Saucer,59.37,NA,NA,NA,NA,NA,-18.02,"Map, Ground, Civilian",165,128,6,7,Scientist,No occupant
1978,5,23,1,"CINCINNATI,OH",Ohio,USA,North America,WOMAN/STOPLITE APPROACHED/FACELESS 5'MAN,SLITS FOR EYES ONLY,Metropolis,1,NA,No UFO,39.13,NA,NA,206,NA,0,84.5,"Map, Ground, Civilian",200,43,9,6,Oddity,Pseudo-Human
1954,10,28,22,"TRADATE,IT",VA,Italy,Western Europe,150 OBS,"3 GUTTERAL OIDS
SCR/TRIPOD
bad date+loc>>/r8#331+FSR v16#3",Town & city,12,Technical,Saucer,45.71,Conversation,"Animals affected, Apparent Landing",NA,NA,NA,-8.91,"Map, Ground, Civilian, High quality observer(s)",219,10,10,5,"Telepathy, Hoax",Humanoid
1967,12,10,7,"BUCHAREST,ROM",Bucharest,Romania,Eastern Europe,MANY SEP.OBS,"ORB W/MANY ANTENNAS HVRS/FACTORY
/LDLN#115+/r84p180",Metropolis,15,Technical,"Saucer, Probe",44.41,Observation,NA,NA,NA,NA,-26.09,"Map, Ground, Civilian",24,60,7,7,"Scientist, News",No occupant
1957,11,13,19,"ONEIDA><WAMPSVILLE,NY",New York,USA,North America,1/CAR,"SML SCR MNVRS ALL DIRs
VANISHES/FLASH when neared",Road + rails,1,NA,"Saucer, Probe",43.08,NA,NA,160,"Military investigation, Blue Book, Government Security Agency involvement, Camouflage",NA,75.68,"Map, Ground, Civilian",141,901,6,6,NA,No occupant
1954,10,18,4,"N/ISSENHEIM,FR",HRH,France,Western Europe,LUM UFO LANDS nr N83,0530hrs 5 SEE IT TAKE OFF/FANTASTIC SPEED,Town & city,90,NA,"Saucer, Cigar",47.9,NA,Apparent Landing,NA,NA,NA,-7.27,"Map, Ground, Civilian, High quality observer(s)",30,184,7,10,NA,No occupant
1996,9,12,21,"AMMAN+ABU ALANDA,JORDAN",Amman,Jordan,Middle East,MANY OBS,"GLARING NLTS MNVR
TYPE UNK
local news/inet",Metropolis,10,NA,Nightlights,31.97,NA,NA,NA,Other government agencies,NA,-35.96,"Map, Ground, Military, Civilian, High quality observer(s)",226,34,5,11,News,No occupant
1180,10,~27,NA,"KII SANCHI,NARA,JAPAN",HNS,Japan,Asia Pacific,GLOWING 'POT' FLIES+MNVRS BTWN Mtns,">>S
/SOBEPS IFS#23",Mountains,8,Historical,Saucer,34,NA,NA,NA,NA,NA,-135.68,"Map, Ground, Civilian",4,10,6,5,Misidentification,No occupant
1952,7,27,NA,"nr LINCOLN,CA",California,USA,North America,BOY/12/RANCH,"6M x 12M TOP SCR W/SQR WINDOWS
JET SOUND
BEAMS
",Pasture,3,NA,Saucer,38.88,NA,NA,50,NA,NA,121.27,"Map, Ground, Civilian",136,956,6,5,NA,No occupant
1954,10,8,21,"N1 SW/CALAIS,FR",Pas-de-Calais,France,Western Europe,BLUISH DOMED SCR DIVES/GROUND,"TURNS >>NE
SAME THING NEXT DAY.",Pasture,3,NA,Saucer,50.9,NA,NA,NA,NA,NA,-1.77,"Map, Ground, Coast, Military",30,134,6,8,News,No occupant
1958,10,31,~18:00,"ARLINGTON,OH",Ohio,USA,North America,SVRL OBS,"DISK >>SE/HI alt/SVRL mins
LOST/CLOUDS
1 SIDE LIT+1 DARK",Town & city,3,NA,Saucer,41.07,NA,NA,305,NA,NA,81.48,"Map, Ground, Civilian, High quality observer(s)",142,593,6,8,NA,No occupant
1897,4,12,18,"GIRARD+NILWOOD,IL",Illinois,USA,North America,2 SEP.LANDINGS,"CGR W/DOME
MEN EXIT+MAKE REPAIRS
>>N
TRACES",Farmlands,10,Traces,Cigar,39.78,NA,Apparent Landing,204,NA,0,89.78,"Map, Ground, Civilian, High quality observer(s)",180,3,8,6,Wave,Pseudo-Human
1909,5,14,NA,"off BLYTHE,ENGL",England,Great Britain and Ireland,Western Europe,CGR AIMS 5 BEAMS/SHIPS BRIDGE,"DOES SAME TO DIFF.SHIP
FSR v17#1",Offshore,10,NA,Cigar,55.18,"Observation, Ray",Vehicle affected,2,NA,NA,1.44,"Map, Ground, Coast, Civilian, High quality observer(s)",104,99,6,8,News,No occupant
1973,12,15,19,"CHATEAUNEUF-sur-LOIRE,FR",Loiret,France,Western Europe,2/CAR,"GRN GLOW-BALL DROPS
CAR+RADIO EME
BOTH OK AFTER",Road + rails,2,Electro-Magnetic Effect,"Probe, Fireball",47.87,NA,Vehicle affected,NA,NA,NA,-2.23,"Map, Ground, Civilian",194,151,6,7,NA,No occupant
1978,10,2,13,"PORT KEMBLA,AUST",NSW,Australia,Oceania,6M NON-MTLC OVOID>SW/1100+kph,ZIGZAGS>>W OVR MTNS at KIAMA,Coastlands,2,NA,Saucer,-34.9,NA,NA,NA,NA,NA,-150.87,"Map, Ground, Coast, Civilian",241,8,6,6,NA,No occupant
1949,8,~15,11,"nr CIRCLEVILLE,UT",Utah,USA,North America,5/FARM,"ODD WHINE
3 25M SCRS > N/VForm
15M alt
TILT+VEER >NW",Farmlands,1,NA,Saucer,38.17,NA,NA,1848,Sound,NA,112.02,"Map, Ground, Civilian, High quality observer(s)",113,424,6,8,NA,No occupant
1996,12,16,21,"STEVENS PASS,WA",Washington,USA,North America,2 SKIERS,"ORG.DISK APPEARS
THEN 2 MORE
NFD
/NUFORC",Mountains,2,NA,Saucer,47.74,NA,NA,1244,NA,NA,121.07,"Map, Ground, Civilian",118,122,6,7,NA,No occupant
1954,6,30,7,"CHICAGO,IL",Illinois,USA,North America,2 ORBS APPEAR/FOTO/SOLAR ECLIPSE,"
EXACT SAME/NORWAY/APRO v3#1",Metropolis,1,Photos,Saucer,41.88,NA,NA,185,NA,NA,87.67,"Map, Ground, Civilian",107,136,5,7,Misidentification,No occupant
1975,8,16,3,"NE/BURY+N/ROCHDALE,ENGL",England,Great Britain and Ireland,Western Europe,2 SEP.COPS++,"NLT FOLOS TRIANGULAR OBJ
> E
HVRS
>S",Residential,9,NA,"Delta, Nightlights",53.63,Observation,"Human affected, Building or ANY MANMADE STRUCTURE",120,Other government agencies,NA,2.17,"Map, Ground, Civilian, High quality observer(s)",232,76,4,10,NA,No occupant
1966,4,2,5,"TUCSON,AZ",Arizona,USA,North America,4 BOYS,"FLASH/SKY
3-4 DISKS >E/4min. APART
LITES/BTM
6mm/ARMS LENGTH",Residential,12,NA,Saucer,32.23,NA,NA,717,NA,NA,110.91,"Map, Ground, Civilian",210,803,6,8,NA,No occupant
1999,12,13,15,"NEPAUG Rsvr,CT",Connecticut,USA,North America,4 OBS,"ODD LRG BULLET SHAPE+SPHERE PASS CLOSELY >N
/MUFON-CT",Farmlands,1,NA,"Saucer, Probe",41.82,NA,NA,150,NA,NA,72.94,"Map, Ground, Civilian, High quality observer(s)",96,280,6,8,NA,No occupant
1980,3,17,23,"PRESCOT,ENG",England,Great Britain and Ireland,Western Europe,3/CAR,"CLOVERLEAF-SCR >SW
CONE >SW LATER
3 ODD MEN/ROAD to RAINHILL",Road + rails,20,NA,Saucer,53.43,NA,NA,50,NA,0,2.78,"Map, Ground, Civilian, High quality observer(s)",195,315,7,7,NA,Pseudo-Human
1978,8,NA,22,"LOWER SACKVILLE,NS",Nova Scotia,Canada,North America,KIDS PLAYING,"30M DRK WIDE CGR > OVR/150M alt
8 SML LITES",Residential,1,NA,Cigar,45.8,NA,NA,1,NA,150,64.37,"Map, Ground, Coast, Civilian",179,115,6,6,NA,No occupant
1989,11,3,NA,"WHITEFIELD,MANCHESTER",England,Great Britain and Ireland,Western Europe,2 OBS,"LUM GOLDEN CGR
SLIGHT DOME/ONE END
""FLUID INSIDE""",Residential,1,NA,Cigar,53.54,NA,NA,78,NA,NA,2.23,"Map, Ground, Civilian",123,233,6,7,NA,No occupant
1958,~3,NA,18,"NE/MONKLAND,ONT",Ontario,Canada,North America,2/CAR,"HUGE BOWL-SCR WHIRRS
LITES/BTM
>S OVHD
CAR EMEs+RESTARTS",Road + rails,1,Electro-Magnetic Effect,Saucer,45.21,NA,Vehicle affected,112,Sound,NA,74.83,"Map, Ground, Civilian",252,24,7,6,NA,No occupant
1976,7,1,22,"KALMHOUTSE HOUK+PUTTE,BELG",Belgium,"Belgium, Netherlands and Luxembourg",Western Europe,2/CAMP+COP,"50'DOMED MTL OVOID CLOSE OVHD
ODD SILENC",Mountains,3,NA,Saucer,51.42,NA,NA,NA,Other government agencies,NA,-4.42,"Map, Ground, Civilian, High quality observer(s)",210,927,6,8,Wave,No occupant
1990,8,4,23,"nr N.WALSHAM,NORFK",England,Great Britain and Ireland,Western Europe,4 OBS,"SCR /WITTON WOOD
NEXT DAY BATTERIES DEAD
CROP CIRCLS",Farmlands,2,"Electro-Magnetic Effect, Traces",Saucer,52.82,NA,"Plants affected or sampled, Vehicle affected",NA,NA,NA,-1.39,"Map, Ground, Coast, Civilian, High quality observer(s)",124,127,8,8,Oddity,No occupant
1980,3,3,3,"RIO PIEDRAS,PR",Puerto Rico,USA,North America,LRG+SML WEBFOOT FIGs GLIDE,"STUDY CHICKENS
all obs drowsy/r82p73",Coastlands,10,Technical,Saucer,18/04/2017,Observation,"Animals affected, Human affected, Building or ANY MANMADE STRUCTURE, Apparent Landing",27,NA,0,66.07,"Map, Ground, Coast, Civilian, High quality observer(s)",195,325,9,9,NA,"Humanoid, Pseudo-Human, Figure"
1954,11,12,19,"FUNCHAL,MADEIRA ISls,PORTUGAL",MDR,Atlantic Ocean + islands,Oceania,/DIARIO POPULAR,FLYING SCR SEEN OVR BAY/10min,Islands,10,NA,Saucer,32.63,NA,NA,NA,NA,NA,16.88,"Map, Ground, Coast, Civilian",190,24,6,7,News,No occupant
1968,3,2,NA,"RANDLETT,UT",Utah,USA,North America,GROUP/OBS W/BINOCULARS SEES SLVR SCR MANEUVER,NFD,Pasture,9,NA,Saucer,40.23,NA,NA,1463,NA,NA,109.8,"Map, Ground, Civilian, High quality observer(s)",42,252,6,8,NA,No occupant
1968,11,5,4,"THETFORD MINES,QBC",Quebec,Canada,North America,15M RED-YLW DOMED SPHERE FOLOS CAR,">N AHEAD
POSS.LANDING",Road + rails,8,NA,Saucer,46.08,Observation,"Vehicle affected, Apparent Landing",362,NA,NA,71.3,"Map, Ground, Civilian",194,120,7,6,NA,No occupant
1980,3,18,22,"SE/TEXARKANA,ARK",Arkansas,USA,North America,2 OBS,"PWR OUTAGE
3 NLTS OVR TV TOWER
go to RDO TWR/BACKYARD",Residential,5,"Electro-Magnetic Effect, Technical","Nightlights, Probe",33.41,Observation,Building or ANY MANMADE STRUCTURE,97,NA,NA,94,"Map, Ground, Civilian, High quality observer(s)",160,172,4,7,NA,No occupant
1993,11,14,21,"HUCKNALL,NOTTS",England,Great Britain and Ireland,Western Europe,1 OBS,"BLAZING DLT JUST ovr NABBS LANE ROOFTOPS/30sec
GOES DARK",Residential,1,NA,Delta,53.03,Observation,Building or ANY MANMADE STRUCTURE,152,NA,15,01/02/2017,"Map, Ground, Civilian",60,298,6,6,News,No occupant
1897,7,10,2,"RIVERS INLET,BC",British Columbia,Canada,North America,2 OBS,"LUMn.'PEAR' RISES SLOW
STRONG LITE
UNAFFECTED BY WIND",Forest,65,NA,"Saucer, Cigar",51.68,Ray,NA,15,NA,NA,127.24,"Map, Ground, Coast, Civilian",129,17,6,7,"News, Oddity",No occupant
1972,11,10,NA,"LUDLOW,ENGL",England,Great Britain and Ireland,Western Europe,A.IBBOTSEN++,"2 DISKS MNVR nr SCHOOL
NFD
/Shropshire Star 11.11.72",Residential,1,NA,Saucer,52.34,Observation,NA,81,NA,NA,2.71,"Map, Ground, Civilian, High quality observer(s)",231,78,6,8,NA,No occupant
1947,7,7,7,"LOWRY AFB,CO",Colorado,USA,North America,SVRL AAF MEN/BINOCS,"SLNT SHINY DISK CCLS N+S
COMES/EAST
 GOES>>E",Military base,6,NA,Saucer,39.73,Observation,"Vehicle affected, Building or ANY MANMADE STRUCTURE",1651,NA,NA,104.94,"Map, Ground, Military, High quality observer(s)",187,564,6,9,News,No occupant
1909,9,24,18,"GOTEBORG+OSTHAMMAR,SWD",Sweden,Scandanavian and Finland,Western Europe,WINGED OVOID OVR FOREST,GLOWING BALLOON DROPS NLT/02DEC,Forest,2,NA,"Saucer, Cigar",57.68,NA,NA,NA,NA,NA,-12,"Map, Ground, Coast, Civilian, High quality observer(s)",203,110,6,7,"News, Wave",No occupant
1989,4,19,22,"PANORA,IA",Iowa,USA,North America,2 OBS,"HUGE SLNT OVOID>OVHD
TURNS+STOPS OVR FIELD
2 RED NLTS DROP",Farmlands,30,NA,"Saucer, Cigar, Nightlights, Probe",41.69,Sampling,Apparent Landing,326,NA,NA,94.36,"Map, Ground, Civilian",96,302,7,7,NA,No occupant
1992,8,29,23,"SANTIAGO,RS,BRZ",RGS,Brazil,South America,1 OBS,"30cm RED SPHERE CURVES E>>W/10kph
15M alt
40M AWAY",Residential,2,NA,"Probe, Fireball",-29.19,NA,NA,399,NA,15,54.9,"Map, Ground, Civilian",206,9,6,6,NA,No occupant
1978,4,10,11,"I91 N/HARTFORD,CT",Connecticut,USA,North America,60 CALLS/POLICE,"BIG RND OBJ W/ROD THRU IT
descripts.vary",Residential,90,NA,Saucer,41.81,NA,Nuclear,20,Other government agencies,NA,72.68,"Map, Ground, Civilian, High quality observer(s)",60,106,6,11,News,No occupant
1954,9,5,22,MOON,MHM,The Moon,Space,3 AM.ASTRONs/ILLINOIS,2.5mile DISK-ORB RISES/MARE HUMBOLDT+off into space,Space,10,Technical,Saucer,0,NA,Apparent Landing,9999,NA,9999,0,"Ground, Civilian, High quality observer(s)",107,240,12,8,"Scientist, Oddity",No occupant
1959,7,21,8,"LIMA,OH",Ohio,USA,North America,WOMAN,"DISK >S THRU CLOUDS
TILT REVEALS SHAPE
NFD
/NICAP",Residential,1,NA,Saucer,40.73,NA,NA,263,NA,NA,84.08,"Map, Ground, Civilian",143,336,6,6,NA,No occupant
1954,10,12,22,"LEGUEVIN,FR",Haute Garonne,France,Western Europe,6-7M X 2.5M SCR LANDS,"VERTICAL TAKEOFF/FANTASTIC SPEED
/r30p155",Residential,5,NA,Saucer,43.6,NA,Apparent Landing,NA,NA,NA,-1.23,"Map, Ground, Civilian",197,82,7,8,NA,No occupant
1954,12,28,NA,"CHIPPEWA FALLS,WI",Wisconsin,USA,North America,RED 8cm MTLC OBJ HITS CAR ANTENNA+TRIM,FLIES AWAY!,Farmlands,1,NA,Probe,44.93,Observation,Vehicle affected,274,NA,2,91.39,"Map, Ground, Civilian, High quality observer(s)",107,259,6,6,Oddity,No occupant
1949,5,29,2,"ELKO,NV",Nevada,USA,North America,MAN/RR YARD,"5 AMBER WINDOW-LIKE NLTS/Vform >W/600+kph
attached?",Desert,1,NA,"Delta, Nightlights",40.81,NA,NA,1540,NA,NA,115.74,"Map, Ground, Civilian",133,389,5,6,NA,No occupant
1975,11,15,2,"SUDBURY,ONT",Ontario,Canada,North America,NLT RISES+FALLS REPEATEDLY,"NO MOTION W/R STARS
LVS TAIL
NO RDR",Oil & coal,15,NA,Nightlights,46.47,NA,NA,342,Military investigation,NA,81,"Map, Ground, Civilian",26,46,5,8,NA,No occupant
1986,4,23,21,"CROSSINGVILLE,PA",Pennsylvania,USA,North America,2 OBS,"35'SCR/200'alt
DRIFTS TWRD OBS THEN DROPS INTO GULLY",Mountains,5,NA,Saucer,41.83,NA,NA,345,Camouflage,60,80.23,"Map, Ground, Civilian",160,224,8,7,NA,No occupant
1970,1,NA,21,"nr KRISTIANSAND,NORW",Norway,Scandanavian and Finland,Western Europe,SVRL OBS/2 DAYS,BRILL.7-LEGGED SCR FOLOS CARS/MILES,Wetlands,208,NA,Saucer,58.17,Observation,Vehicle affected,NA,NA,NA,-8,"Map, Ground, Coast, Civilian, High quality observer(s)",156,4,6,8,NA,No occupant
1952,8,27,21,"DAVIS-MONTHAN AFB,AZ",Arizona,USA,North America,2 BRILL-BLU BLOBS,"TUCSON,AZ CIVS SEE ALSO
VFAST MNVRS
>>E",Military base,10,NA,"Saucer, Cigar",32.14,Observation,"Vehicle affected, Building or ANY MANMADE STRUCTURE",824,"Military investigation, Blue Book",NA,110.88,"Map, Ground, Military, Civilian, High quality observer(s)",136,473,6,9,News,No occupant
